x,y,memb,phi
3.0303030303030303,0.1016949152542373,a,0.01331993872873437
3.131313131313131,0.1016949152542373,a,0.013169098586854128
3.2323232323232323,0.1016949152542373,a,0.013018258444973892
3.3333333333333335,0.1016949152542373,a,0.012867418303093656
3.4343434343434343,0.1016949152542373,a,0.01271657816121342
3.5353535353535355,0.1016949152542373,a,0.01256573801933318
3.6363636363636362,0.1016949152542373,a,0.012414897877452945
3.7373737373737375,0.1016949152542373,a,0.012264057735572707
3.8383838383838382,0.1016949152542373,a,0.01211321759369247
3.9393939393939394,0.1016949152542373,a,0.01196237745181223
4.040404040404041,0.1016949152542373,a,0.011811537309931994
4.141414141414141,0.1016949152542373,a,0.011660697168051756
4.242424242424242,0.1016949152542373,a,0.01150985702617152
