B,B_exp,M,R,nRun,udl,cap_r,nam,nam_set,hog,sag
15700000000000,11072517018028.201,-14174798.630523684,0.29474413897909546,0,3000,0.047726594715567956,C1_2_3000,C1_2,s2,s12
15700000000000,11072016450689.34,-14357205.368804934,0.2947760222490866,0,3000,0.04834075881752503,C1_2_3000,C1_2,s2,s12
15700000000000,11071542277873.152,-14529993.943023684,0.29480622433928966,0,3000,0.04892253852869927,C1_2_3000,C1_2,s2,s12
15700000000000,11071094374963.404,-14693209.763336184,0.29483475318704433,0,3000,0.049472086745239674,C1_2_3000,C1_2,s2,s12
15700000000000,11070672922815.373,-14846786.926078826,0.2948615972729062,0,3000,0.04998918156928898,C1_2_3000,C1_2,s2,s12
15700000000000,11070277693753.709,-14990808.396148684,0.2948867710984899,0,3000,0.050474102343934964,C1_2_3000,C1_2,s2,s12
15700000000000,11069908914113.805,-15125191.696929934,0.29491026024752837,0,3000,0.050926571370134455,C1_2_3000,C1_2,s2,s12
15700000000000,11069566372221.31,-15250013.962554934,0.2949320782024643,0,3000,0.05134684835877082,C1_2_3000,C1_2,s2,s12
15700000000000,11069250289169.547,-15365194.626617434,0.2949522108809206,0,3000,0.05173466204248294,C1_2_3000,C1_2,s2,s12
15700000000000,11068960476024.223,-15470802.536773684,0.2949706703169285,0,3000,0.05209024423156122,C1_2_3000,C1_2,s2,s12
15700000000000,11068697061382.195,-15566790.832328826,0.2949874483196054,0,3000,0.0524134371458883,C1_2_3000,C1_2,s2,s12
15700000000000,11068459908685.361,-15653209.275054934,0.2950025535869197,0,3000,0.0527044083335183,C1_2_3000,C1_2,s2,s12
15700000000000,11068249186650.852,-15729996.384429934,0.29501597537255725,0,3000,0.05296295078932638,C1_2_3000,C1_2,s2,s12
15700000000000,11068064764001.89,-15797199.997711184,0.29502772203809613,0,3000,0.05318922558151914,C1_2_3000,C1_2,s2,s12
15700000000000,11067906691656.941,-15854801.560211184,0.2950377903403222,0,3000,0.05338317023640129,C1_2_3000,C1_2,s2,s12
15700000000000,11067774983015.596,-15902796.189117434,0.2950461794257582,0,3000,0.05354476831352671,C1_2_3000,C1_2,s2,s12
15700000000000,11067669584440.219,-15941203.429985076,0.2950528927108141,0,3000,0.053674085622845376,C1_2_3000,C1_2,s2,s12
15700000000000,11067590561706.594,-15969999.314117434,0.29505792600594943,0,3000,0.053771041461674864,C1_2_3000,C1_2,s2,s12
15700000000000,11067537871818.25,-15989199.509429934,0.295061282049793,0,3000,0.05383568858393917,C1_2_3000,C1_2,s2,s12
15700000000000,11067511524194.16,-15998800.583648684,0.2950629602424102,0,3000,0.05386801543316055,C1_2_3000,C1_2,s2,s12
15640892169148.37,15598791105194.893,50369389.453205466,0.002691730337257924,1,3000,0.13914195981548472,C1_2_3000,C1_2,s2,s12
15643018351073.006,15601915450223.533,48943793.750080466,0.0026275556243052847,1,3000,0.13520385013834382,C1_2_3000,C1_2,s2,s12
15645123035514.422,15605072517302.672,47532584.765705466,0.0025599362894644768,1,3000,0.1313054827781919,C1_2_3000,C1_2,s2,s12
